2012 Meteorological,,,,,,,,,
,,,,,,,,,
Data Processed By: ,,Niki Jacobs,,,,,,,
For More Information Contact: ,,Dr. Anna Liljedahl - akliljedahl@alaska.edu,,,,,,,
,,,,,,,,,
Site Name: ,,Coal Mine Ridge,,,,,,,
Site Coordinates (UTM): ,,X-coord. 561974,,,,,,,
,,Y-coord. 7060795,,,,,,,
Elevation: ,,1012m,,,,,,,
,,,,,,,,,
Legend: ,,6999 = Missing Data,,,,,,,
,,7777 = Poor Quality Data,,,,,,,
,,,,,,,,,
Notes:,Times are in AKST = UTC-08.00,,,,,,,,
,"No valid rain, solar radiation, or snow depth data was collected for this time.",,,,,,,,
,Data was collected from 2012-09-26 to 2012-12-31,,,,,,,,
,,,,,,,,,
Instruments:,Air Temperature(AT) and Relative Humidity(RH):,,,,,,,,
,Sensor Type:,,Campbell Scientific HC2S3-L Temperature and Relative Humidity Probe,,,,,,
,Heights:,,1m and 2m,,,,,,
,Solar Radiation Shield:,,Campbell Scientific 41003-5 10-Plate Solar Radiation Shield,,,,,,
,,,,,,,,,
,Dew Point(DP):,,,,,,,,
,Calculated from air temperature and relative humidity at 1m.,,,,,,,,
,,,,,,,,,
,Wind Speed(WS) and Wind Direction(WD):,,,,,,,,
,Sensor Type: ,,"Campbell Scientific RM Young 05103-45-L Wind Monitor, Alpine Version",,,,,,
,Height:,,3m,,,,,,
,,,,,,,,,
,Snow Depth:,,,,,,,,
,Sensor Type:,,Campbell Scientific SR50A-L Sonic Ranging Sensor,,,,,,
,Height:,,1.276m,,,,,,
,,,,,,,,,
Funding: ,Alaska University Transportation Center (2012Ð2013),,,,,,,,
,Alaska Department of Transportation and Public Facilities (2012Ð2013),,,,,,,,
,Cold Regions Research and Engineering Laboratory through SERDP-DOD (2011Ð2014),,,,,,,,
,Pacific Northwest Transportation Consortium - PacTrans (2012-2013),,,,,,,,
,National Institutes for Water Resources (2012),,,,,,,,
, Institute of Northern Engineering (2011),,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Date,Time_UTC,avgAT_C_1m,avgAT_C_2m,avgRH_1m,avgRH_2m,avgDP_C,sampleWD_Deg,sampleWS_m.s,maxWS_m.s
2012-09-26,14:00:00,8.03,7.43,40.63,41.58,-4.54,191.7,9.86,12.01
2012-09-26,15:00:00,6.8,6.5,43.18,43.69,-4.83,178.3,5.03,11.58
2012-09-26,16:00:00,5.65,5.72,47.01,46.36,-4.69,171.9,2.23,7.07
